internal_trade_id,order_id,execution_id,trade_date,settle_date,symbol,side,quantity,price,gross_amount,commission,fees,currency,strategy,portfolio,account_id,broker,source_system,created_at
INT-000001,ORD-000001,EXEC-000001,2026-06-12,2026-06-16,MSFT,BUY,1500,179.52,269280.0,4.5,5.3856,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000002,ORD-000001,EXEC-000002,2026-06-12,2026-06-16,QQQ,SELL,100,37.28,3728.0,0.3,0.0746,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000003,ORD-000002,EXEC-000003,2026-06-12,2026-06-16,SPY,SELL,200,280.54,56108.0,0.6,1.1222,USD,MOMENTUM,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000004,ORD-000002,EXEC-000004,2026-06-12,2026-06-16,GOOGL,SELL,200,144.88,28976.0,0.6,0.5795,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000005,ORD-000002,EXEC-000005,2026-06-12,2026-06-16,MSFT,SELL,2000,219.49,438980.0,6.0,8.7796,USD,ETF_ARB,FUND_ALPHA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000006,ORD-000003,EXEC-000006,2026-06-12,2026-06-16,TSLA,BUY,1000,190.04,190040.0,3.0,3.8008,USD,MOMENTUM,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000007,ORD-000003,EXEC-000007,2026-06-12,2026-06-16,AAPL,BUY,2000,187.85,375700.0,6.0,7.514,USD,STAT_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000008,ORD-000003,EXEC-000008,2026-06-12,2026-06-16,META,SELL,1500,503.78,755670.0,4.5,15.1134,USD,MEAN_REVERSION,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000009,ORD-000004,EXEC-000009,2026-06-12,2026-06-16,META,BUY,1000,388.29,388290.0,3.0,7.7658,USD,MOMENTUM,FUND_BETA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000010,ORD-000004,EXEC-000010,2026-06-12,2026-06-16,TSLA,SELL,1500,419.13,628695.0,4.5,12.5739,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000011,ORD-000004,EXEC-000011,2026-06-12,2026-06-16,AAPL,SELL,500,175.29,87645.0,1.5,1.7529,USD,MOMENTUM,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000012,ORD-000005,EXEC-000012,2026-06-12,2026-06-16,TSLA,SELL,200,173.63,34726.0,0.6,0.6945,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000013,ORD-000005,EXEC-000013,2026-06-12,2026-06-16,GOOGL,BUY,200,315.53,63106.0,0.6,1.2621,USD,STAT_ARB,FUND_ALPHA,PA_MAIN,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000014,ORD-000005,EXEC-000014,2026-06-12,2026-06-16,NVDA,SELL,1000,56.85,56850.0,3.0,1.137,USD,MEAN_REVERSION,FUND_ALPHA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000015,ORD-000006,EXEC-000015,2026-06-12,2026-06-16,MSFT,SELL,2000,391.76,783520.0,6.0,15.6704,USD,ETF_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000016,ORD-000006,EXEC-000016,2026-06-12,2026-06-16,JPM,BUY,1500,527.99,791985.0,4.5,15.8397,USD,STAT_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000017,ORD-000006,EXEC-000017,2026-06-12,2026-06-16,SPY,BUY,200,236.87,47374.0,0.6,0.9475,USD,MEAN_REVERSION,FUND_BETA,PA_MAIN,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000018,ORD-000007,EXEC-000018,2026-06-12,2026-06-16,AAPL,BUY,300,529.66,158898.0,0.9,3.178,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000019,ORD-000007,EXEC-000019,2026-06-12,2026-06-16,QQQ,BUY,100,444.51,44451.0,0.3,0.889,USD,MOMENTUM,FUND_BETA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000020,ORD-000007,EXEC-000020,2026-06-12,2026-06-16,SPY,BUY,300,326.05,97815.0,0.9,1.9563,USD,MOMENTUM,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000021,ORD-000008,EXEC-000021,2026-06-12,2026-06-16,META,SELL,1500,396.93,595395.0,4.5,11.9079,USD,STAT_ARB,FUND_ALPHA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000022,ORD-000008,EXEC-000022,2026-06-12,2026-06-16,AMZN,BUY,300,32.2,9660.0,0.9,0.1932,USD,MOMENTUM,FUND_ALPHA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000023,ORD-000008,EXEC-000023,2026-06-12,2026-06-16,MSFT,BUY,200,59.09,11818.0,0.6,0.2364,USD,STAT_ARB,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000024,ORD-000009,EXEC-000024,2026-06-12,2026-06-16,META,SELL,200,332.76,66552.0,0.6,1.331,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000025,ORD-000009,EXEC-000025,2026-06-12,2026-06-16,TSLA,BUY,100,76.22,7622.0,0.3,0.1524,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000026,ORD-000009,EXEC-000026,2026-06-12,2026-06-16,JPM,BUY,1500,399.0,598500.0,4.5,11.97,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000027,ORD-000010,EXEC-000027,2026-06-12,2026-06-16,GOOGL,BUY,200,131.12,26224.0,0.6,0.5245,USD,MOMENTUM,FUND_BETA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000028,ORD-000010,EXEC-000028,2026-06-12,2026-06-16,NVDA,SELL,500,164.89,82445.0,1.5,1.6489,USD,STAT_ARB,FUND_ALPHA,PA_EVENT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000029,ORD-000010,EXEC-000029,2026-06-12,2026-06-16,SPY,BUY,100,557.29,55729.0,0.3,1.1146,USD,ETF_ARB,FUND_BETA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000030,ORD-000011,EXEC-000030,2026-06-12,2026-06-16,JPM,BUY,2000,252.6,505200.0,6.0,10.104,USD,ETF_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000031,ORD-000011,EXEC-000031,2026-06-12,2026-06-16,TSLA,SELL,2000,475.38,950760.0,6.0,19.0152,USD,ETF_ARB,FUND_ALPHA,PA_EVENT,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000032,ORD-000011,EXEC-000032,2026-06-12,2026-06-16,AMZN,SELL,200,581.85,116370.0,0.6,2.3274,USD,MEAN_REVERSION,FUND_ALPHA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000033,ORD-000012,EXEC-000033,2026-06-12,2026-06-16,AAPL,SELL,1000,553.24,553240.0,3.0,11.0648,USD,STAT_ARB,FUND_ALPHA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000034,ORD-000012,EXEC-000034,2026-06-12,2026-06-16,NVDA,BUY,1000,59.42,59420.0,3.0,1.1884,USD,STAT_ARB,FUND_ALPHA,PA_EVENT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000035,ORD-000012,EXEC-000035,2026-06-12,2026-06-16,QQQ,BUY,1000,67.55,67550.0,3.0,1.351,USD,MEAN_REVERSION,FUND_ALPHA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000036,ORD-000013,EXEC-000036,2026-06-12,2026-06-16,GOOGL,BUY,300,249.56,74868.0,0.9,1.4974,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000037,ORD-000013,EXEC-000037,2026-06-12,2026-06-16,MSFT,BUY,500,380.27,190135.0,1.5,3.8027,USD,STAT_ARB,FUND_ALPHA,PA_MAIN,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000038,ORD-000013,EXEC-000038,2026-06-12,2026-06-16,SPY,SELL,200,561.29,112258.0,0.6,2.2452,USD,MEAN_REVERSION,FUND_BETA,PA_LONG_SHORT,BRKR_A,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000039,ORD-000014,EXEC-000039,2026-06-12,2026-06-16,NVDA,SELL,2000,335.07,670140.0,6.0,13.4028,USD,MEAN_REVERSION,FUND_ALPHA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000040,ORD-000014,EXEC-000040,2026-06-12,2026-06-16,NVDA,SELL,100,536.03,53603.0,0.3,1.0721,USD,MEAN_REVERSION,FUND_BETA,PA_LONG_SHORT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000041,ORD-000014,EXEC-000041,2026-06-12,2026-06-16,QQQ,BUY,1500,218.87,328305.0,4.5,6.5661,USD,ETF_ARB,FUND_BETA,PA_MARKET_NEUTRAL,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000042,ORD-000015,EXEC-000042,2026-06-12,2026-06-16,AAPL,BUY,1500,265.67,398505.0,4.5,7.9701,USD,STAT_ARB,FUND_BETA,PA_MAIN,BRKR_B,SIM_INTERNAL_OMS,2026-06-12T16:05:00
INT-000043,ORD-000015,EXEC-000043,2026-06-12,2026-06-16,NVDA,SELL,200,449.91,89982.0,0.6,1.7996,USD,STAT_ARB,FUND_ALPHA,PA_EVENT,BRKR_C,SIM_INTERNAL_OMS,2026-06-12T16:05:00
